tem,Month,Year,rain
16.976,1,1901,18.5356
0,2,1901,16.2548
24.3158,3,1901,70.7981
28.1834,4,1901,66.1616
27.8892,5,1901,267.215
28.8925,6,1901,341.042
28.3327,7,1901,540.907
27.9243,8,1901,493.21
27.6057,9,1901,291.549
27.0887,10,1901,199.171
22.1671,11,1901,126.285
18.5574,12,1901,1.69035
18.5455,1,1902,1.29152
20.1252,2,1902,0.14722
25.5508,3,1902,62.7686
26.5562,4,1902,229.589
27.3165,5,1902,302.197
28.266,6,1902,528.775
27.6247,7,,415.257
28.1001,8,1902,435.166
27.7271,9,1902,282.872
26.0153,10,1902,76.6518
21.9907,11,1902,
18.2532,12,1902,6.51869
17.7023,1,1903,2.4001
19.5474,2,1903,16.7112
0,3,1903,35.0165
28.0898,4,1903,79.8924
28.5913,5,1903,206.714
,6,1903,606.088
28.6851,7,1903,376.786
27.5889,8,1903,401.075
27.7468,9,1903,288.777
26.8644,10,1903,190.116
22.4298,11,1903,53.8007
18.3745,12,1903,0.0104
17.7866,1,1904,0.3257
19.9656,2,1904,40.4723
25.0148,3,1904,32.017
27.3117,4,1904,169.242
27.1157,5,1904,317.756
27.8145,,1904,525.691
27.4404,7,1904,707.404
,,,
27.9551,9,1904,181.867
26.2871,10,1904,72.9881
22.1525,11,1904,32.9518
18.7779,12,1904,1.97838
17.0,1,1905,7.07224
17.8269,2,1905,22.9071
22.9851,3,1905,78.9631
25.4188,4,1905,203.005
27.1236,5,1905,315.752
29.0868,6,1905,224.887
27.8607,7,1905,559.799
27.4862,8,1905,624.073
27.8164,9,1905,623.689
26.5021,10,1905,133.63
22.6873,11,1905,4.91701
18.6721,12,1905,7.61877
17.5423,1,1906,13.9546
19.4317,2,1906,65.6833
23.0485,3,1906,53.425
27.9907,4,1906,29.6299
,5,1906,229.508
28.2983,6,1906,357.968
28.3345,7,1906,487.922
27.4695,,1906,388.641
28.3886,,1906,212.273
26.428,,1906,185.89
22.7998,11,1906,48.9485
19.2146,12,1906,0.01352
19.0642,1,1907,10.7854
19.7055,2,1907,28.6799
23.1507,3,1907,123.023
26.1498,4,1907,115.429
27.6634,5,1907,234.761
27.8377,6,1907,549.54
27.8421,7,1907,327.091
28.1978,8,1907,223.517
27.8996,9,1907,269.975
26.7797,10,1907,51.2185
22.7542,11,1907,9.41034
18.6971,12,1907,13.5853
17.2889,1,1908,7.99686
20.212,2,1908,12.5831
25.0639,3,1908,8.35921
29.3307,4,1908,44.7567
28.0869,5,1908,281.536
28.3117,6,1908,786.245
27.9535,7,1908,454.244
28.0517,8,1908,696.272
28.0101,9,1908,239.95
26.5604,10,1908,70.0824
22.174,11,1908,3.32205
18.3258,12,1908,0.06706
18.6933,1,1909,3.05691
20.1593,2,1909,5.51192
25.9954,3,1909,0.05684
26.4867,4,1909,297.624
27.9672,5,1909,209.147
27.2679,6,1909,732.781
28.1115,7,1909,353.252
27.414,8,1909,407.441
28.3398,9,1909,193.233
26.8933,10,1909,162.603
23.6615,11,1909,15.8119
19.1166,12,1909,10.6704
17.7787,1,1910,8.7212
19.9987,2,1910,23.461
24.3738,3,1910,42.3547
26.912,4,1910,118.086
27.8941,5,1910,266.631
27.3892,6,1910,547.481
27.3739,7,1910,767.513
27.8772,8,1910,306.786
28.2254,9,1910,273.808
26.2802,10,1910,177.51
22.3027,11,1910,25.508
18.1829,12,1910,0.04428
19.0692,1,1911,14.8878
19.6118,2,1911,5.67389
23.8229,3,1911,53.2531
26.9944,4,1911,120.237
27.6235,5,1911,326.943
27.5065,6,1911,605.515
28.14,7,1911,495.969
27.754,8,1911,737.185
27.7117,9,1911,383.276
26.023,10,1911,153.624
22.1109,11,1911,15.4586
17.7475,12,1911,0.00822
18.2763,1,1912,2.25106
20.9062,2,1912,29.7185
24.4209,3,1912,76.6334
26.0439,4,1912,162.34
27.7741,5,1912,280.501
28.3068,6,1912,432.564
27.6907,7,1912,468.194
27.7733,8,1912,334.72
27.9862,9,1912,185.82
26.2671,10,1912,218.287
22.3421,11,1912,130.107
18.3319,12,1912,4.99061
18.1365,1,1913,1.3331
20.7171,2,1913,52.7534
23.7257,3,1913,65.26
27.9796,4,1913,109.438
27.0109,5,1913,320.563
26.8354,6,1913,766.414
28.0541,7,1913,632.049
27.7176,8,1913,608.192
27.8885,9,1913,201.041
26.0772,10,1913,244.715
21.7421,11,1913,21.013
18.151,12,1913,19.4961
17.9978,1,1914,0.29132
20.6822,2,1914,33.7543
24.4306,3,1914,13.1223
25.8496,4,1914,227.216
27.4998,5,1914,354.499
27.9523,6,1914,522.397
28.0274,7,1914,624.896
27.5587,8,1914,358.844
27.6911,9,1914,195.451
25.4273,10,1914,55.233
22.4916,11,1914,8.40755
19.2066,12,1914,16.6593
18.8711,1,1915,5.29986
20.2688,2,1915,32.7776
24.1828,3,1915,81.4802
27.5293,4,1915,144.341
27.6441,5,1915,438.896
27.7751,6,1915,644.838
28.176,7,1915,604.175
28.1829,8,1915,423.692
27.7224,9,1915,247.244
28.1302,10,1915,140.361
24.4903,11,1915,52.6143
19.089,12,1915,0.92268
17.8694,1,1916,0.81033
20.4223,2,1916,7.77238
25.6592,3,1916,10.455
27.315,4,1916,330.499
28.9475,5,1916,197.267
27.6135,6,1916,603.185
27.5322,7,1916,276.94
27.8663,8,1916,437.713
28.052,9,1916,342.129
26.6718,10,1916,333.453
23.0187,11,1916,89.3188
18.2218,12,1916,2.12559
17.4937,1,1917,0.37143
19.8716,2,1917,37.7137
23.8486,3,1917,25.2565
26.9286,4,1917,149.653
27.1785,5,1917,307.686
27.4378,6,1917,570.203
27.777,7,1917,479.862
27.8983,8,1917,340.538
27.6864,9,1917,319.17
26.5464,10,1917,298.594
22.9189,11,1917,74.9472
18.5966,12,1917,0.08277
17.1998,1,1918,0.83205
20.0129,2,1918,4.45144
24.9119,3,1918,26.2286
26.6262,4,1918,186.424
27.6326,5,1918,300.067
26.4861,6,1918,583.023
28.2649,7,1918,506.578
27.4965,8,1918,478.53
28.0696,9,1918,230.131
26.5865,10,1918,83.0429
22.6765,11,1918,4.25047
18.4667,12,1918,5.10306
18.9095,1,1919,10.3983
19.706,2,1919,10.9028
25.8395,3,1919,7.77532
27.1635,4,1919,135.889
28.165,5,1919,350.062
