car name,mpg,displacement,horsepower,weight,acceleration
chevrolet chevelle malibu,18,307,130,3504,12
buick skylark 320,15,350,165,3693,11.5
plymouth satellite,18,318,150,3436,11
amc rebel sst,16,304,150,3433,12
ford torino,17,302,140,3449,10.5
ford galaxie 500,15,429,198,4341,10
chevrolet impala,14,454,220,4354,9
plymouth fury iii,14,440,215,4312,8.5
pontiac catalina,14,455,225,4425,10
amc ambassador dpl,15,390,190,3850,8.5
dodge challenger se,15,383,170,3563,10
plymouth 'cuda 340,14,340,160,3609,8
chevrolet monte carlo,15,400,150,3761,9.5
buick estate wagon (sw),14,455,225,3086,10
toyota corona mark ii,24,113,95,2372,15
plymouth duster,22,198,95,2833,15.5
amc hornet,18,199,97,2774,15.5
ford maverick,21,200,85,2587,16
datsun pl510,27,97,88,2130,14.5
volkswagen 1131 deluxe sedan,26,97,46,1835,20.5
peugeot 504,25,110,87,2672,17.5
audi 100 ls,24,107,90,2430,14.5
saab 99e,25,104,95,2375,17.5
bmw 2002,26,121,113,2234,12.5
amc gremlin,21,199,90,2648,15
ford f250,10,360,215,4615,14
chevy c20,10,307,200,4376,15
dodge d200,11,318,210,4382,13.5
hi 1200d,9,304,193,4732,18.5
datsun pl510,27,97,88,2130,14.5
chevrolet vega 2300,28,140,90,2264,15.5
toyota corona,25,113,95,2228,14
ford pinto,25,98,?,2046,19
amc gremlin,19,232,100,2634,13
plymouth satellite custom,16,225,105,3439,15.5
chevrolet chevelle malibu,17,250,100,3329,15.5
ford torino 500,19,250,88,3302,15.5
amc matador,18,232,100,3288,15.5
chevrolet impala,14,350,165,4209,12
pontiac catalina brougham,14,400,175,4464,11.5
ford galaxie 500,14,351,153,4154,13.5
plymouth fury iii,14,318,150,4096,13
dodge monaco (sw),12,383,180,4955,11.5
ford country squire (sw),13,400,170,4746,12
pontiac safari (sw),13,400,175,5140,12
amc hornet sportabout (sw),18,258,110,2962,13.5
chevrolet vega (sw),22,140,72,2408,19
pontiac firebird,19,250,100,3282,15
ford mustang,18,250,88,3139,14.5
