car name,model year,origin,cylinders
chevrolet chevelle malibu,70,1,8
buick skylark 320,70,1,8
plymouth satellite,70,1,8
amc rebel sst,70,1,8
ford torino,70,1,8
ford galaxie 500,70,1,8
chevrolet impala,70,1,8
plymouth fury iii,70,1,8
pontiac catalina,70,1,8
amc ambassador dpl,70,1,8
dodge challenger se,70,1,8
plymouth 'cuda 340,70,1,8
chevrolet monte carlo,70,1,8
buick estate wagon (sw),70,1,8
toyota corona mark ii,70,3,4
plymouth duster,70,1,6
amc hornet,70,1,6
ford maverick,70,1,6
datsun pl510,70,3,4
volkswagen 1131 deluxe sedan,70,2,4
peugeot 504,70,2,4
audi 100 ls,70,2,4
saab 99e,70,2,4
bmw 2002,70,2,4
amc gremlin,70,1,6
ford f250,70,1,8
chevy c20,70,1,8
dodge d200,70,1,8
hi 1200d,70,1,8
datsun pl510,71,3,4
chevrolet vega 2300,71,1,4
toyota corona,71,3,4
ford pinto,71,1,4
amc gremlin,71,1,6
plymouth satellite custom,71,1,6
chevrolet chevelle malibu,71,1,6
ford torino 500,71,1,6
amc matador,71,1,6
chevrolet impala,71,1,8
pontiac catalina brougham,71,1,8
ford galaxie 500,71,1,8
plymouth fury iii,71,1,8
dodge monaco (sw),71,1,8
ford country squire (sw),71,1,8
pontiac safari (sw),71,1,8
amc hornet sportabout (sw),71,1,6
chevrolet vega (sw),71,1,4
pontiac firebird,71,1,6
ford mustang,71,1,6
mercury capri 2000,71,1,4
opel 1900,71,2,4
peugeot 304,71,2,4
fiat 124b,71,2,4
toyota corolla 1200,71,3,4
datsun 1200,71,3,4
volkswagen model 111,71,2,4
plymouth cricket,71,1,4
toyota corona hardtop,72,3,4
dodge colt hardtop,72,1,4
volkswagen type 3,72,2,4
chevrolet vega,72,1,4
ford pinto runabout,72,1,4
chevrolet impala,72,1,8
pontiac catalina,72,1,8
plymouth fury iii,72,1,8
ford galaxie 500,72,1,8
amc ambassador sst,72,1,8
mercury marquis,72,1,8
buick lesabre custom,72,1,8
oldsmobile delta 88 royale,72,1,8
chrysler newport royal,72,1,8
mazda rx2 coupe,72,3,3
amc matador (sw),72,1,8
chevrolet chevelle concours (sw),72,1,8
ford gran torino (sw),72,1,8
plymouth satellite custom (sw),72,1,8
volvo 145e (sw),72,2,4
volkswagen 411 (sw),72,2,4
peugeot 504 (sw),72,2,4
renault 12 (sw),72,2,4
ford pinto (sw),72,1,4
datsun 510 (sw),72,3,4
toyouta corona mark ii (sw),72,3,4
dodge colt (sw),72,1,4
toyota corolla 1600 (sw),72,3,4
buick century 350,73,1,8
amc matador,73,1,8
chevrolet malibu,73,1,8
ford gran torino,73,1,8
dodge coronet custom,73,1,8
mercury marquis brougham,73,1,8
chevrolet caprice classic,73,1,8
ford ltd,73,1,8
plymouth fury gran sedan,73,1,8
chrysler new yorker brougham,73,1,8
buick electra 225 custom,73,1,8
amc ambassador brougham,73,1,8
plymouth valiant,73,1,6
chevrolet nova custom,73,1,6
